Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Venue Country,Match Type,MOM,Year,MOM_Won
0,1.0,2,0,0,0.0,6,caught,1,v Ireland,Dublin (Malahide),2018-06-27,Ireland,T20I,No,2018,0
9,5.0,8,1,0,112.5,2,caught,1,v Ireland,Dublin (Malahide),2018-06-29,Ireland,T20I,No,2018,0
20,56.0,22,0,1,90.9,4,not out,2,v England,Manchester,2018-03-07,England,T20I,No,2018,0
47,64.0,38,1,2,123.68,4,caught,1,v England,Cardiff,2018-06-07,England,T20I,No,2018,0
43,45.0,29,2,2,148.27,4,caught,2,v England,Bristol,2018-08-07,England,T20I,No,2018,0
4,5.0,8,0,0,50.0,4,caught,2,v Australia,Brisbane,2018-11-21,Australia,T20I,No,2018,0
61,25.0,41,4,2,148.78,3,not out,2,v Australia,Sydney,2018-11-25,Australia,T20I,Yes,2018,1
24,25.0,17,3,0,141.17,3,caught,1,v Australia,Visakhapatnam,2019-02-24,India,T20I,No,2019,0
72,63.0,38,2,6,189.47,3,not out,1,v Australia,Bengaluru,2019-02-27,India,T20I,Yes,2019,1
19,45.0,29,1,0,65.51,3,caught,2,v West Indies,Lauderhill,2019-03-08,USA,T20I,No,2019,0
28,56.0,23,1,1,121.73,3,bowled,1,v West Indies,Lauderhill,2019-04-08,USA,T20I,No,2019,0
59,67.0,45,6,0,131.11,3,caught,2,v West Indies,Providence,2019-06-08,West Indies,T20I,Yes,2019,1
72,66.0,52,4,3,138.46,3,not out,2,v South Africa,Mohali,2019-09-18,India,T20I,Yes,2019,1
9,28.0,15,0,0,60.0,3,caught,1,v South Africa,Bengaluru,2019-09-22,India,T20I,No,2019,0
94,89.0,50,6,6,188.0,3,not out,2,v West Indies,Hyderabad (Deccan),2019-06-12,India,T20I,Yes,2019,1
19,10.0,17,2,0,111.76,4,caught,1,v West Indies,Thiruvananthapuram,2019-08-12,India,T20I,No,2019,0
70,,29,4,7,241.37,4,not out,1,v West Indies,Wankhede,2019-11-12,India,T20I,Yes,2019,1
30,67.0,17,1,2,176.47,4,not out,2,v Sri Lanka,Indore,2020-07-01,India,T20I,No,2020,0
26,34.0,17,2,1,152.94,6,run out,1,v Sri Lanka,Pune,2020-10-01,India,T20I,No,2020,0
45,58.0,32,3,1,140.62,3,caught,2,v New Zealand,Auckland,2020-01-24,New Zealand,T20I,No,2020,0
11,21.0,12,1,0,91.66,3,caught,2,v New Zealand,Auckland,2020-01-26,New Zealand,T20I,No,2020,0
38,31.0,27,2,1,140.74,4,caught,1,v New Zealand,Hamilton,2020-01-29,New Zealand,T20I,No,2020,0
