Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Venue Country,Match Type,MOM,Year,MOM_Won
20,66.0,40,4,0,50.0,4,caught,1,v South Africa,Visakhapatnam,2019-02-10,India,Test,No,2019,0
31,67.0,25,3,1,124.0,5,not out,3,v South Africa,Visakhapatnam,2019-02-10,India,Test,No,2019,0
254,400.0,336,33,2,75.59,4,not out,1,v South Africa,Pune,2019-10-10,India,Test,Yes,2019,1
12,45.0,22,2,0,54.54,4,lbw,1,v South Africa,Ranchi,2019-10-19,India,Test,No,2019,0
0,6.0,2,0,0,0.0,4,lbw,2,v Bangladesh,Indore,2019-11-14,India,Test,No,2019,0
136,55.0,194,18,0,70.1,4,caught,2,v Bangladesh,Eden Gardens,2019-11-22,India,Test,Yes,2019,1
2,9.0,7,0,0,28.57,4,caught,1,v New Zealand,Wellington,2020-02-21,New Zealand,Test,No,2020,0
19,61.0,43,3,0,44.18,4,caught,3,v New Zealand,Wellington,2020-02-21,New Zealand,Test,No,2020,0
3,23.0,15,0,0,20.0,4,lbw,1,v New Zealand,Christchurch,2020-02-29,New Zealand,Test,No,2020,0
14,40.0,30,3,0,46.66,4,lbw,3,v New Zealand,Christchurch,2020-02-29,New Zealand,Test,No,2020,0
74,244.0,180,8,0,41.11,4,run out,1,v Australia,Adelaide,2020-12-17,Australia,Test,No,2020,0
4,13.0,8,1,0,50.0,5,caught,3,v Australia,Adelaide,2020-12-17,Australia,Test,No,2020,0
11,69.0,48,0,0,22.91,4,caught,2,v England,Chennai,2021-05-02,India,Test,No,2021,0
72,153.0,104,9,0,69.23,4,bowled,4,v England,Chennai,2021-05-02,India,Test,No,2021,0
0,6.0,5,0,0,0.0,4,bowled,1,v England,Chennai,2021-02-13,India,Test,No,2021,0
62,200.0,149,7,0,41.61,4,lbw,3,v England,Chennai,2021-02-13,India,Test,No,2021,0
27,85.0,58,3,0,46.55,4,bowled,2,v England,Ahmedabad,2021-02-24,India,Test,No,2021,0
0,13.0,8,0,0,0.0,4,caught,2,v England,Ahmedabad,2021-04-03,India,Test,No,2021,0
44,196.0,132,1,0,33.33,4,lbw,1,v New Zealand,Southampton,2021-06-18,England,Test,No,2021,0
13,43.0,29,0,0,44.82,4,caught,3,v New Zealand,Southampton,2021-06-18,England,Test,No,2021,0
0,2.0,1,0,0,0.0,4,caught,2,v England,Nottingham,2021-04-08,England,Test,No,2021,0
42,152.0,103,3,0,40.77,4,caught,1,v England,Lord's,2021-12-08,England,Test,No,2021,0
20,54.0,31,4,0,64.51,4,caught,3,v England,Lord's,2021-12-08,England,Test,No,2021,0
7,31.0,17,1,0,41.17,4,caught,1,v England,Leeds,2021-08-25,England,Test,No,2021,0
55,173.0,125,8,0,44.0,4,caught,3,v England,Leeds,2021-08-25,England,Test,No,2021,0
50,133.0,96,8,0,52.08,4,caught,1,v England,The Oval,2021-02-09,England,Test,No,2021,0
44,151.0,96,7,0,45.83,4,caught,3,v England,The Oval,2021-02-09,England,Test,No,2021,0
0,8.0,4,0,0,0.0,4,lbw,1,v New Zealand,Wankhede,2021-03-12,India,Test,No,2021,0
36,111.0,84,1,1,42.85,4,bowled,3,v New Zealand,Wankhede,2021-03-12,India,Test,No,2021,0
35,108.0,94,4,0,37.23,4,caught,1,v South Africa,Centurion,2021-12-26,South Africa,Test,No,2021,0
18,41.0,32,4,0,56.25,5,caught,3,v South Africa,Centurion,2021-12-26,South Africa,Test,No,2021,0
79,273.0,201,12,1,39.3,4,caught,1,v South Africa,Cape Town,2022-11-01,South Africa,Test,No,2022,0
29,193.0,143,4,0,20.27,4,caught,3,v South Africa,Cape Town,2022-11-01,South Africa,Test,No,2022,0
45,106.0,76,5,0,59.21,4,bowled,1,v Sri Lanka,Mohali,2022-04-03,India,Test,No,2022,0
23,63.0,48,2,0,47.91,4,lbw,1,v Sri Lanka,Bengaluru,2022-12-03,India,Test,No,2022,0
13,27.0,16,1,0,81.25,4,lbw,3,v Sri Lanka,Bengaluru,2022-12-03,India,Test,No,2022,0
11,33.0,19,2,0,57.89,4,bowled,1,v England,Birmingham,2022-01-07,England,Test,No,2022,0
20,64.0,40,4,0,50.0,4,caught,3,v England,Birmingham,2022-01-07,England,Test,No,2022,0
12,33.0,22,1,0,54.54,2,lbw,1,v Sri Lanka,Dambulla,2008-08-18,Sri Lanka,ODI,No,2008,0
37,82.0,67,6,0,55.22,2,caught,2,v Sri Lanka,Dambulla,2008-08-20,Sri Lanka,ODI,No,2008,0
25,40.0,38,4,0,65.78,1,run out,1,v Sri Lanka,Colombo (RPS),2008-08-24,Sri Lanka,ODI,No,2008,0
54,87.0,66,7,0,81.81,1,bowled,1,v Sri Lanka,Colombo (RPS),2008-08-27,Sri Lanka,ODI,Yes,2008,1
31,45.0,46,3,1,67.39,1,lbw,2,v Sri Lanka,Colombo (RPS),2008-08-29,Sri Lanka,ODI,No,2008,0
2,6.0,2,0,0,100.0,7,not out,1,v Sri Lanka,Colombo (RPS),2009-09-14,Sri Lanka,ODI,No,2009,0
16,28.0,24,1,0,66.66,4,caught,2,v Pakistan,Centurion,2009-09-26,South Africa,ODI,No,2009,0
79,121.0,104,9,2,75.96,4,not out,2,v West Indies,Johannesburg,2009-09-30,South Africa,ODI,Yes,2009,1
30,53.0,41,3,0,73.17,4,caught,2,v Australia,Vadodara,2009-10-25,India,ODI,No,2009,0
10,32.0,16,1,0,62.5,3,caught,2,v Australia,Mohali,2009-02-11,India,ODI,No,2009,0
27,20.0,19,4,0,142.1,7,bowled,1,v Sri Lanka,Rajkot,2009-12-15,India,ODI,No,2009,0
54,93.0,65,7,0,83.07,4,lbw,1,v Sri Lanka,Nagpur,2009-12-18,India,ODI,Yes,2009,1
107,93.0,114,11,1,93.85,4,caught,2,v Sri Lanka,Eden Gardens,2009-12-24,India,ODI,Yes,2009,1
9,19.0,12,1,0,75.0,3,caught,1,v Sri Lanka,Mirpur,2010-05-01,Bangladesh,ODI,No,2010,0
91,136.0,102,7,0,89.21,3,caught,2,v Bangladesh,Mirpur,2010-07-01,Bangladesh,ODI,Yes,2010,1
71,98.0,68,9,0,104.41,3,not out,2,v Sri Lanka,Mirpur,2010-10-01,Bangladesh,ODI,Yes,2010,1
102,128.0,95,11,0,107.36,3,not out,2,v Bangladesh,Mirpur,2010-11-01,Bangladesh,ODI,Yes,2010,1
2,6.0,8,0,0,25.0,3,caught,1,v Sri Lanka,Mirpur,2010-01-13,Bangladesh,ODI,No,2010,0
31,88.0,46,1,0,67.39,5,caught,1,v South Africa,Jaipur,2010-02-21,India,ODI,No,2010,0
57,78.0,71,4,1,80.28,3,caught,2,v South Africa,Ahmedabad,2010-02-27,India,ODI,Yes,2010,1
0,3.0,0,0,0,,3,run out,1,v Zimbabwe,Bulawayo,2010-05-28,Zimbabwe,ODI,No,2010,0
82,125.0,92,4,0,89.13,3,caught,2,v Sri Lanka,Bulawayo,2010-05-30,Zimbabwe,ODI,Yes,2010,1
18,28.0,29,1,0,62.06,3,caught,1,v Zimbabwe,Harare,2010-03-06,Zimbabwe,ODI,No,2010,0
68,123.0,95,5,0,71.57,3,caught,1,v Sri Lanka,Harare,2010-05-06,Zimbabwe,ODI,Yes,2010,1
11,35.0,22,0,0,50.0,3,stumped,2,v Bangladesh,Dambulla,2010-06-16,Sri Lanka,ODI,No,2010,0
18,31.0,27,1,0,66.66,3,bowled,2,v Pakistan,Dambulla,2010-06-19,Sri Lanka,ODI,No,2010,0
10,13.0,14,1,0,71.42,3,caught,1,v Sri Lanka,Dambulla,2010-06-22,Sri Lanka,ODI,No,2010,0
28,57.0,34,4,0,82.35,3,caught,1,v Sri Lanka,Dambulla,2010-06-24,Sri Lanka,ODI,No,2010,0
0,5.0,3,0,0,0.0,3,caught,2,v Sri Lanka,Dambulla,2010-08-16,Sri Lanka,ODI,No,2010,0
8,22.0,16,1,0,50.0,3,caught,1,v New Zealand,Dambulla,2010-08-25,Sri Lanka,ODI,No,2010,0
37,98.0,57,5,0,64.91,3,caught,2,v Sri Lanka,Dambulla,2010-08-28,Sri Lanka,ODI,No,2010,0
118,193.0,121,11,1,97.52,3,caught,2,v Australia,Visakhapatnam,2010-10-20,India,ODI,Yes,2010,1
105,162.0,104,10,0,100.96,3,caught,1,v New Zealand,Guwahati,2010-11-28,India,ODI,Yes,2010,1
64,78.0,73,8,0,87.67,3,caught,2,v New Zealand,Jaipur,2010-01-12,India,ODI,Yes,2010,1
63,83.0,70,6,2,90.0,3,not out,2,v New Zealand,Vadodara,2010-04-12,India,ODI,Yes,2010,1
0,3.0,2,0,0,0.0,3,caught,2,v New Zealand,Bengaluru,2010-07-12,India,ODI,No,2010,0
2,10.0,8,0,0,25.0,3,caught,2,v New Zealand,Chennai,2010-10-12,India,ODI,No,2010,0
54,122.0,70,2,1,77.14,3,caught,2,v South Africa,Durban,2011-12-01,South Africa,ODI,Yes,2011,1
22,43.0,34,1,0,64.7,3,run out,1,v South Africa,Johannesburg,2011-01-15,South Africa,ODI,No,2011,0
28,51.0,41,5,0,68.29,3,caught,2,v South Africa,Cape Town,2011-01-18,South Africa,ODI,No,2011,0
87,126.0,92,7,2,94.56,3,not out,2,v South Africa,Gqeberha,2011-01-21,South Africa,ODI,Yes,2011,1
2,11.0,6,0,0,33.33,3,caught,2,v South Africa,Centurion,2011-01-23,South Africa,ODI,No,2011,0
100,113.0,83,8,2,120.48,4,not out,1,v Bangladesh,Mirpur,2011-02-19,Bangladesh,ODI,Yes,2011,1
8,12.0,5,1,0,160.0,7,bowled,1,v England,Bengaluru,2011-02-27,India,ODI,No,2011,0
34,82.0,53,3,0,64.15,4,run out,2,v Ireland,Bengaluru,2011-06-03,India,ODI,No,2011,0
12,16.0,20,2,0,60.0,5,bowled,2,v Netherlands,Delhi,2011-09-03,India,ODI,No,2011,0
1,2.0,3,0,0,33.33,7,caught,1,v South Africa,Nagpur,2011-12-03,India,ODI,No,2011,0
59,128.0,76,5,0,77.63,3,bowled,1,v West Indies,Chennai,2011-03-20,India,ODI,Yes,2011,1
24,38.0,33,1,0,72.72,4,caught,2,v Australia,Ahmedabad,2011-03-24,India,ODI,No,2011,0
9,20.0,21,0,0,42.85,4,caught,1,v Pakistan,Mohali,2011-03-30,India,ODI,No,2011,0
35,69.0,49,4,0,71.42,4,caught,2,v Sri Lanka,Wankhede,2011-02-04,India,ODI,No,2011,0
2,5.0,8,0,0,25.0,3,caught,2,v West Indies,Port of Spain,2011-06-06,West Indies,ODI,No,2011,0
81,118.0,103,6,1,78.64,3,caught,2,v West Indies,Port of Spain,2011-08-06,West Indies,ODI,Yes,2011,1
94,135.0,104,10,0,90.38,3,run out,1,v West Indies,Kingston,2011-06-16,West Indies,ODI,Yes,2011,1
55,92.0,73,4,0,75.34,4,bowled,1,v England,Chester-le-Street,2011-03-09,England,ODI,Yes,2011,1
9,9.0,9,0,0,100.0,4,caught,1,v England,Southampton,2011-06-09,England,ODI,No,2011,0
7,18.0,18,0,0,38.88,4,caught,1,v England,The Oval,2011-09-09,England,ODI,No,2011,0
16,40.0,36,1,0,44.44,4,caught,1,v England,Lord's,2011-11-09,England,ODI,No,2011,0
107,102.0,93,9,1,115.05,4,hit wicket,1,v England,Cardiff,2011-09-16,England,ODI,Yes,2011,1
37,70.0,63,0,0,58.73,4,caught,1,v England,Hyderabad (Deccan),2011-10-14,India,ODI,No,2011,0
112,134.0,98,16,0,114.28,4,not out,2,v England,Delhi,2011-10-17,India,ODI,Yes,2011,1
35,42.0,30,5,0,116.66,4,lbw,2,v England,Mohali,2011-10-20,India,ODI,No,2011,0
86,100.0,99,11,0,86.86,4,not out,2,v England,Wankhede,2011-10-23,India,ODI,Yes,2011,1
0,5.0,5,0,0,0.0,3,bowled,1,v England,Eden Gardens,2011-10-25,India,ODI,No,2011,0
3,13.0,6,0,0,50.0,4,bowled,2,v West Indies,Cuttack,2011-11-29,India,ODI,No,2011,0
117,154.0,123,14,0,95.12,4,caught,2,v West Indies,Visakhapatnam,2011-02-12,India,ODI,Yes,2011,1
20,21.0,30,3,0,66.66,4,lbw,2,v West Indies,Ahmedabad,2011-05-12,India,ODI,No,2011,0
23,15.0,11,3,0,209.09,6,not out,1,v West Indies,Indore,2011-08-12,India,ODI,No,2011,0
80,99.0,85,5,0,94.11,5,caught,1,v West Indies,Chennai,2011-11-12,India,ODI,Yes,2011,1
31,30.0,34,3,0,91.17,3,caught,2,v Australia,Melbourne,2012-05-02,Australia,ODI,No,2012,0
77,156.0,94,8,1,81.91,3,run out,2,v Sri Lanka,Perth,2012-08-02,Australia,ODI,Yes,2012,1
18,41.0,28,1,0,64.28,3,caught,2,v Australia,Adelaide,2012-12-02,Australia,ODI,No,2012,0
15,32.0,25,1,0,60.0,3,lbw,2,v Sri Lanka,Adelaide,2012-02-14,Australia,ODI,No,2012,0
12,44.0,25,0,0,48.0,3,caught,2,v Australia,Brisbane,2012-02-19,Australia,ODI,No,2012,0
66,116.0,83,2,0,79.51,4,caught,2,v Sri Lanka,Brisbane,2012-02-21,Australia,ODI,Yes,2012,1
21,36.0,27,2,0,77.77,4,caught,2,v Australia,Sydney,2012-02-26,Australia,ODI,No,2012,0
133,133.0,86,16,2,154.65,4,not out,2,v Sri Lanka,Hobart,2012-02-28,Australia,ODI,Yes,2012,1
108,148.0,120,7,0,90.0,3,caught,1,v Sri Lanka,Mirpur,2012-03-13,Bangladesh,ODI,Yes,2012,1
66,126.0,82,5,0,80.48,3,bowled,1,v Bangladesh,Mirpur,2012-03-16,Bangladesh,ODI,Yes,2012,1
183,211.0,148,22,1,123.64,3,caught,2,v Pakistan,Mirpur,2012-03-18,Bangladesh,ODI,Yes,2012,1
106,158.0,113,9,0,93.8,3,caught,1,v Sri Lanka,Hambantota,2012-07-21,Sri Lanka,ODI,Yes,2012,1
1,6.0,5,0,0,20.0,3,caught,1,v Sri Lanka,Hambantota,2012-07-24,Sri Lanka,ODI,No,2012,0
38,80.0,65,2,0,58.46,3,caught,2,v Sri Lanka,Colombo (RPS),2012-07-28,Sri Lanka,ODI,No,2012,0
128,187.0,119,12,1,107.56,3,not out,2,v Sri Lanka,Colombo (RPS),2012-07-31,Sri Lanka,ODI,Yes,2012,1
23,42.0,35,2,0,65.71,3,lbw,1,v Sri Lanka,Pallekele,2012-04-08,Sri Lanka,ODI,No,2012,0
0,9.0,5,0,0,0.0,3,bowled,1,v Pakistan,Chennai,2012-12-30,India,ODI,No,2012,0
6,12.0,9,1,0,66.66,3,caught,2,v Pakistan,Eden Gardens,2013-03-01,India,ODI,No,2013,0
7,25.0,17,1,0,41.17,3,caught,1,v Pakistan,Delhi,2013-06-01,India,ODI,No,2013,0
15,45.0,22,1,0,68.18,3,caught,2,v England,Rajkot,2013-11-01,India,ODI,No,2013,0
37,86.0,54,1,1,68.51,3,caught,1,v England,Kochi,2013-01-15,India,ODI,No,2013,0
77,110.0,79,9,2,97.46,3,not out,2,v England,Ranchi,2013-01-19,India,ODI,Yes,2013,1
26,44.0,33,3,0,78.78,3,caught,2,v England,Mohali,2013-01-23,India,ODI,No,2013,0
0,1.0,1,0,0,0.0,3,caught,1,v England,Dharamsala,2013-01-27,India,ODI,No,2013,0
31,46.0,41,2,0,75.6,3,caught,1,v South Africa,Cardiff,2013-06-06,England,ODI,No,2013,0
22,18.0,18,4,0,122.22,3,bowled,2,v West Indies,The Oval,2013-11-06,England,ODI,No,2013,0
22,36.0,27,3,0,81.48,3,not out,2,v Pakistan,Birmingham,2013-06-15,England,ODI,No,2013,0
58,80.0,64,4,1,90.62,3,not out,2,v Sri Lanka,Cardiff,2013-06-20,England,ODI,Yes,2013,1
43,66.0,34,4,1,126.47,3,caught,1,v England,Birmingham,2013-06-23,England,ODI,No,2013,0
11,19.0,21,0,1,52.38,3,caught,1,v West Indies,Kingston,2013-06-30,West Indies,ODI,No,2013,0
2,6.0,5,0,0,40.0,4,caught,2,v Sri Lanka,Kingston,2013-02-07,West Indies,ODI,No,2013,0
102,120.0,83,13,2,122.89,3,caught,1,v West Indies,Port of Spain,2013-05-07,West Indies,ODI,Yes,2013,1
31,62.0,52,4,0,59.61,3,lbw,1,v Sri Lanka,Port of Spain,2013-09-07,West Indies,ODI,No,2013,0
2,8.0,5,0,0,40.0,3,caught,2,v Sri Lanka,Port of Spain,2013-11-07,West Indies,ODI,No,2013,0
115,133.0,108,13,1,106.48,3,caught,2,v Zimbabwe,Harare,2013-07-24,Zimbabwe,ODI,Yes,2013,1
14,35.0,18,2,0,77.77,3,caught,1,v Zimbabwe,Harare,2013-07-26,Zimbabwe,ODI,No,2013,0
68,128.0,88,5,1,77.27,3,not out,2,v Zimbabwe,Harare,2013-07-28,Zimbabwe,ODI,Yes,2013,1
61,121.0,85,6,0,71.76,3,lbw,2,v Australia,Pune,2013-10-13,India,ODI,Yes,2013,1
100,82.0,52,8,7,192.3,3,not out,2,v Australia,Jaipur,2013-10-16,India,ODI,Yes,2013,1
68,121.0,73,9,0,93.15,3,caught,1,v Australia,Mohali,2013-10-19,India,ODI,Yes,2013,1
115,104.0,66,18,1,174.24,3,not out,2,v Australia,Nagpur,2013-10-30,India,ODI,Yes,2013,1
0,4.0,3,0,0,0.0,3,run out,1,v Australia,Bengaluru,2013-02-11,India,ODI,No,2013,0
86,120.0,84,9,2,102.38,3,caught,2,v West Indies,Kochi,2013-11-21,India,ODI,Yes,2013,1
99,159.0,100,9,0,99.0,3,caught,1,v West Indies,Visakhapatnam,2013-11-24,India,ODI,Yes,2013,1
19,19.0,18,3,0,105.55,3,caught,2,v West Indies,Kanpur,2013-11-27,India,ODI,No,2013,0
31,41.0,35,5,0,88.57,3,caught,2,v South Africa,Johannesburg,2013-05-12,South Africa,ODI,No,2013,0
0,7.0,5,0,0,0.0,3,caught,2,v South Africa,Durban,2013-08-12,South Africa,ODI,No,2013,0
123,179.0,111,11,2,110.81,3,caught,2,v New Zealand,Napier,2014-01-19,New Zealand,ODI,Yes,2014,1
78,88.0,65,7,2,120.0,3,caught,2,v New Zealand,Hamilton,2014-01-22,New Zealand,ODI,Yes,2014,1
6,27.0,20,1,0,30.0,3,caught,2,v New Zealand,Auckland,2014-01-25,New Zealand,ODI,No,2014,0
2,14.0,10,0,0,20.0,2,caught,1,v New Zealand,Hamilton,2014-01-28,New Zealand,ODI,No,2014,0
82,129.0,78,7,3,105.12,3,caught,2,v New Zealand,Wellington,2014-01-31,New Zealand,ODI,Yes,2014,1
136,157.0,122,16,2,111.47,3,bowled,2,v Bangladesh,Fatullah,2014-02-26,Bangladesh,ODI,Yes,2014,1
48,66.0,51,4,1,94.11,3,bowled,1,v Sri Lanka,Fatullah,2014-02-28,Bangladesh,ODI,No,2014,0
5,29.0,11,0,0,45.45,3,caught,1,v Pakistan,Mirpur,2014-02-03,Bangladesh,ODI,No,2014,0
0,1.0,3,0,0,0.0,3,caught,1,v England,Cardiff,2014-08-27,England,ODI,No,2014,0
40,67.0,50,2,1,80.0,3,caught,2,v England,Nottingham,2014-08-30,England,ODI,No,2014,0
1,9.0,3,0,0,33.33,3,not out,2,v England,Birmingham,2014-02-09,England,ODI,No,2014,0
13,25.0,21,2,0,61.9,3,caught,2,v England,Leeds,2014-05-09,England,ODI,No,2014,0
2,7.0,5,0,0,40.0,3,caught,2,v West Indies,Kochi,2014-08-10,India,ODI,No,2014,0
62,124.0,78,5,0,79.48,4,caught,1,v West Indies,Delhi,2014-11-10,India,ODI,Yes,2014,1
127,164.0,114,13,3,111.4,3,run out,1,v West Indies,Dharamsala,2014-10-17,India,ODI,Yes,2014,1
22,34.0,21,2,0,104.76,4,caught,1,v Sri Lanka,Cuttack,2014-02-11,India,ODI,No,2014,0
49,67.0,44,2,2,111.36,4,caught,2,v Sri Lanka,Ahmedabad,2014-06-11,India,ODI,No,2014,0
53,43.0,61,4,1,86.88,4,caught,2,v Sri Lanka,Hyderabad (Deccan),2014-09-11,India,ODI,Yes,2014,1
66,109.0,64,6,0,103.12,4,run out,1,v Sri Lanka,Eden Gardens,2014-11-13,India,ODI,Yes,2014,1
139,192.0,126,12,3,110.31,4,not out,2,v Sri Lanka,Ranchi,2014-11-16,India,ODI,Yes,2014,1
9,24.0,16,0,0,56.25,4,caught,1,v Australia,Melbourne,2015-01-18,Australia,ODI,No,2015,0
4,13.0,8,0,0,50.0,4,caught,1,v England,Brisbane,2015-01-20,Australia,ODI,No,2015,0
3,8.0,9,0,0,33.33,4,not out,1,v Australia,Sydney,2015-01-26,Australia,ODI,No,2015,0
8,26.0,19,0,0,42.1,3,caught,1,v England,Perth,2015-01-30,Australia,ODI,No,2015,0
107,168.0,126,8,0,84.92,3,caught,1,v Pakistan,Adelaide,2015-02-15,Australia,ODI,Yes,2015,1
46,106.0,60,3,0,76.66,3,caught,1,v South Africa,Melbourne,2015-02-22,Australia,ODI,No,2015,0
33,49.0,41,5,0,80.48,3,not out,2,v U.A.E.,Perth,2015-02-28,Australia,ODI,No,2015,0
33,51.0,36,5,0,91.66,3,caught,2,v West Indies,Perth,2015-06-03,Australia,ODI,No,2015,0
44,64.0,42,4,1,104.76,3,not out,2,v Ireland,Hamilton,2015-10-03,New Zealand,ODI,No,2015,0
38,71.0,48,4,0,79.16,3,bowled,2,v Zimbabwe,Auckland,2015-03-14,New Zealand,ODI,No,2015,0
3,6.0,8,0,0,37.5,3,caught,1,v Bangladesh,Melbourne,2015-03-19,Australia,ODI,No,2015,0
1,11.0,13,0,0,7.69,3,caught,2,v Australia,Sydney,2015-03-26,Australia,ODI,No,2015,0
1,9.0,4,0,0,25.0,3,caught,2,v Bangladesh,Mirpur,2015-06-18,Bangladesh,ODI,No,2015,0
23,57.0,27,3,1,85.18,3,lbw,1,v Bangladesh,Mirpur,2015-06-21,Bangladesh,ODI,No,2015,0
25,55.0,35,1,0,71.42,3,bowled,1,v Bangladesh,Mirpur,2015-06-24,Bangladesh,ODI,No,2015,0
11,29.0,18,0,0,61.11,4,caught,2,v South Africa,Kanpur,2015-11-10,India,ODI,No,2015,0
12,24.0,18,0,0,66.66,4,run out,1,v South Africa,Indore,2015-10-14,India,ODI,No,2015,0
77,155.0,99,5,0,77.77,3,caught,2,v South Africa,Rajkot,2015-10-18,India,ODI,Yes,2015,1
138,202.0,140,6,5,98.57,3,caught,1,v South Africa,Chennai,2015-10-22,India,ODI,Yes,2015,1
7,11.0,6,0,1,116.66,3,caught,2,v South Africa,Wankhede,2015-10-25,India,ODI,No,2015,0
91,148.0,97,9,1,93.81,3,caught,1,v Australia,Perth,2016-12-01,Australia,ODI,Yes,2016,1
59,84.0,67,4,0,88.05,3,run out,1,v Australia,Brisbane,2016-01-15,Australia,ODI,Yes,2016,1
117,174.0,117,7,2,100.0,3,caught,1,v Australia,Melbourne,2016-01-17,Australia,ODI,Yes,2016,1
106,131.0,92,11,1,115.21,3,caught,2,v Australia,Canberra,2016-01-20,Australia,ODI,Yes,2016,1
8,11.0,11,1,0,72.72,3,caught,2,v Australia,Sydney,2016-01-23,Australia,ODI,No,2016,0
85,109.0,81,9,1,104.93,3,not out,2,v New Zealand,Dharamsala,2016-10-16,India,ODI,Yes,2016,1
9,18.0,13,1,0,69.23,3,caught,2,v New Zealand,Delhi,2016-10-20,India,ODI,No,2016,0
154,202.0,134,16,1,114.92,3,not out,2,v New Zealand,Mohali,2016-10-23,India,ODI,Yes,2016,1
45,64.0,51,2,1,88.23,3,caught,2,v New Zealand,Ranchi,2016-10-26,India,ODI,No,2016,0
65,152.0,76,2,1,85.52,3,caught,1,v New Zealand,Visakhapatnam,2016-10-29,India,ODI,Yes,2016,1
122,147.0,105,8,5,116.19,3,caught,2,v England,Pune,2017-01-15,India,ODI,Yes,2017,1
8,6.0,5,2,0,160.0,3,caught,1,v England,Cuttack,2017-01-19,India,ODI,No,2017,0
55,81.0,63,8,0,87.3,3,caught,2,v England,Eden Gardens,2017-01-22,India,ODI,Yes,2017,1
81,108.0,68,6,3,119.11,3,not out,1,v Pakistan,Birmingham,2017-04-06,England,ODI,Yes,2017,1
0,5.0,5,0,0,0.0,3,caught,1,v Sri Lanka,The Oval,2017-08-06,England,ODI,No,2017,0
76,136.0,101,7,1,75.24,3,not out,2,v South Africa,The Oval,2017-11-06,England,ODI,Yes,2017,1
96,96.0,78,13,0,123.07,3,not out,2,v Bangladesh,Birmingham,2017-06-15,England,ODI,Yes,2017,1
5,96.0,9,0,0,55.55,3,caught,2,v Pakistan,The Oval,2017-06-18,England,ODI,No,2017,0
32,96.0,47,1,0,68.08,3,not out,1,v West Indies,Port of Spain,2017-06-23,West Indies,ODI,No,2017,0
87,96.0,66,4,4,131.81,3,caught,1,v West Indies,Port of Spain,2017-06-25,West Indies,ODI,Yes,2017,1
111,96.0,115,12,2,96.52,3,not out,2,v West Indies,Kingston,2017-06-07,West Indies,ODI,Yes,2017,1
82,96.0,70,10,1,117.14,3,not out,2,v Sri Lanka,Dambulla,2017-08-20,Sri Lanka,ODI,Yes,2017,1
4,56.0,2,1,0,200.0,5,bowled,2,v Sri Lanka,Pallekele,2017-08-24,Sri Lanka,ODI,No,2017,0
3,96.0,11,0,0,27.27,3,caught,2,v Sri Lanka,Pallekele,2017-08-27,Sri Lanka,ODI,No,2017,0
131,96.0,96,17,2,136.45,3,caught,1,v Sri Lanka,Colombo (RPS),2017-08-31,Sri Lanka,ODI,Yes,2017,1
110,96.0,116,9,0,94.82,3,not out,2,v Sri Lanka,Colombo (RPS),2017-03-09,Sri Lanka,ODI,Yes,2017,1
0,7.0,4,0,0,0.0,3,caught,1,v Australia,Chennai,2017-09-17,India,ODI,No,2017,0
92,148.0,107,8,0,85.98,3,bowled,1,v Australia,Eden Gardens,2017-09-21,India,ODI,Yes,2017,1
28,58.0,35,2,0,80.0,3,caught,2,v Australia,Indore,2017-09-24,India,ODI,No,2017,0
21,23.0,21,3,0,100.0,3,bowled,2,v Australia,Bengaluru,2017-09-28,India,ODI,No,2017,0
39,73.0,55,2,0,70.9,3,caught,2,v Australia,Nagpur,2017-01-10,India,ODI,No,2017,0
121,203.0,125,9,2,96.8,3,caught,1,v New Zealand,Wankhede,2017-10-22,India,ODI,Yes,2017,1
29,40.0,29,3,1,100.0,3,caught,2,v New Zealand,Pune,2017-10-25,India,ODI,No,2017,0
113,166.0,106,9,1,106.6,3,caught,1,v New Zealand,Kanpur,2017-10-29,India,ODI,Yes,2017,1
112,164.0,119,10,0,94.11,3,caught,2,v South Africa,Durban,2018-01-02,South Africa,ODI,Yes,2018,1
46,64.0,50,4,1,92.0,3,not out,2,v South Africa,Centurion,2018-04-02,South Africa,ODI,No,2018,0
160,220.0,159,12,2,100.62,3,not out,1,v South Africa,Cape Town,2018-07-02,South Africa,ODI,Yes,2018,1
75,119.0,83,7,1,90.36,3,caught,1,v South Africa,Johannesburg,2018-10-02,South Africa,ODI,Yes,2018,1
36,76.0,54,2,0,66.66,3,run out,1,v South Africa,Gqeberha,2018-02-13,South Africa,ODI,No,2018,0
129,123.0,96,19,2,134.37,3,not out,2,v South Africa,Centurion,2018-02-16,South Africa,ODI,Yes,2018,1
75,123.0,82,7,0,91.46,3,stumped,2,v England,Nottingham,2018-12-07,England,ODI,Yes,2018,1
45,98.0,56,2,0,80.35,3,lbw,2,v England,Lord's,2018-07-14,England,ODI,No,2018,0
71,98.0,72,8,0,98.61,3,bowled,1,v England,Leeds,2018-07-17,England,ODI,Yes,2018,1
140,217.0,107,21,2,130.84,3,stumped,2,v West Indies,Guwahati,2018-10-21,India,ODI,Yes,2018,1
157,217.0,129,13,4,121.7,3,not out,1,v West Indies,Visakhapatnam,2018-10-24,India,ODI,Yes,2018,1
107,57.0,119,10,1,89.91,3,bowled,2,v West Indies,Pune,2018-10-27,India,ODI,Yes,2018,1
